2.2812 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
19.0362 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
21.3328 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002702077BF70>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000027025DEABE0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
21.3330 	EXP 	window1: mouseVisible = True
21.3331 	EXP 	window1: mouseVisible = False
21.3331 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
21.3332 	EXP 	window1: recordFrameIntervals = False
21.4984 	EXP 	window1: recordFrameIntervals = True
21.6821 	EXP 	Screen (0) actual frame rate measured at 59.97Hz
21.6822 	EXP 	window1: recordFrameIntervals = False
24.3708 	EXP 	Created Fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='Fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
24.4049 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.3, 0.3, 0.3]), colorSpace='rgb', contrast=0.3, depth=-1.0, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1.0, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.2, 0.2]), tex='sin', texRes=128.0, units='height', win=Window(...))
24.4107 	EXP 	Created sequence: random, trialTypes=1, nReps=100, seed=None
24.4118 	EXP 	New trial (rep=0, index=0): None
24.4473 	EXP 	grating: ori = 2.0
24.4473 	EXP 	Fixation: autoDraw = True
25.4829 	EXP 	grating: autoDraw = True
25.4829 	EXP 	grating: tex = 'sin'
25.4864 	EXP 	Fixation: autoDraw = False
25.7974 	EXP 	grating: autoDraw = False
26.3029 	EXP 	New trial (rep=1, index=0): None
26.3067 	DATA 	Keypress: up
26.3138 	EXP 	Fixation: autoDraw = False
26.3138 	EXP 	grating: autoDraw = False
26.3138 	EXP 	grating: ori = 3.0
26.3138 	EXP 	Fixation: autoDraw = True
27.3132 	EXP 	Fixation: autoDraw = False
27.3132 	EXP 	grating: autoDraw = True
27.6134 	EXP 	grating: autoDraw = False
28.1689 	EXP 	New trial (rep=2, index=0): None
28.1721 	DATA 	Keypress: down
28.1803 	EXP 	Fixation: autoDraw = False
28.1803 	EXP 	grating: autoDraw = False
28.1803 	EXP 	grating: ori = 0.0
28.1803 	EXP 	Fixation: autoDraw = True
29.1801 	EXP 	Fixation: autoDraw = False
29.1801 	EXP 	grating: autoDraw = True
29.4800 	EXP 	grating: autoDraw = False
29.7511 	EXP 	New trial (rep=3, index=0): None
29.7540 	DATA 	Keypress: up
29.7637 	EXP 	Fixation: autoDraw = False
29.7637 	EXP 	grating: autoDraw = False
29.7637 	EXP 	grating: ori = 1.0
29.7637 	EXP 	Fixation: autoDraw = True
30.7635 	EXP 	Fixation: autoDraw = False
30.7635 	EXP 	grating: autoDraw = True
31.0633 	EXP 	grating: autoDraw = False
31.7857 	EXP 	New trial (rep=4, index=0): None
31.7896 	DATA 	Keypress: up
31.7968 	EXP 	Fixation: autoDraw = False
31.7968 	EXP 	grating: autoDraw = False
31.7968 	EXP 	grating: ori = -3.0
31.7968 	EXP 	Fixation: autoDraw = True
32.7968 	EXP 	Fixation: autoDraw = False
32.7968 	EXP 	grating: autoDraw = True
33.0962 	EXP 	grating: autoDraw = False
33.7348 	EXP 	New trial (rep=5, index=0): None
33.7386 	DATA 	Keypress: down
33.7462 	EXP 	Fixation: autoDraw = False
33.7462 	EXP 	grating: autoDraw = False
33.7462 	EXP 	grating: ori = -3.0
33.7462 	EXP 	Fixation: autoDraw = True
34.7462 	EXP 	Fixation: autoDraw = False
34.7462 	EXP 	grating: autoDraw = True
35.0460 	EXP 	grating: autoDraw = False
35.3688 	EXP 	New trial (rep=6, index=0): None
35.3718 	DATA 	Keypress: down
35.3794 	EXP 	Fixation: autoDraw = False
35.3794 	EXP 	grating: autoDraw = False
35.3794 	EXP 	grating: ori = -3.0
35.3794 	EXP 	Fixation: autoDraw = True
36.3791 	EXP 	Fixation: autoDraw = False
36.3791 	EXP 	grating: autoDraw = True
36.6792 	EXP 	grating: autoDraw = False
36.9679 	EXP 	New trial (rep=7, index=0): None
36.9714 	DATA 	Keypress: down
36.9792 	EXP 	Fixation: autoDraw = False
36.9792 	EXP 	grating: autoDraw = False
36.9792 	EXP 	grating: ori = -5.0
36.9792 	EXP 	Fixation: autoDraw = True
37.9793 	EXP 	Fixation: autoDraw = False
37.9793 	EXP 	grating: autoDraw = True
38.2788 	EXP 	grating: autoDraw = False
38.4510 	EXP 	New trial (rep=8, index=0): None
38.4546 	DATA 	Keypress: down
38.4624 	EXP 	Fixation: autoDraw = False
38.4624 	EXP 	grating: autoDraw = False
38.4624 	EXP 	grating: ori = -4.0
38.4624 	EXP 	Fixation: autoDraw = True
39.4623 	EXP 	Fixation: autoDraw = False
39.4623 	EXP 	grating: autoDraw = True
39.7619 	EXP 	grating: autoDraw = False
39.9006 	EXP 	New trial (rep=9, index=0): None
39.9045 	DATA 	Keypress: down
39.9119 	EXP 	Fixation: autoDraw = False
39.9119 	EXP 	grating: autoDraw = False
39.9119 	EXP 	grating: ori = 0.0
39.9119 	EXP 	Fixation: autoDraw = True
40.9118 	EXP 	Fixation: autoDraw = False
40.9118 	EXP 	grating: autoDraw = True
41.2123 	EXP 	grating: autoDraw = False
41.5336 	EXP 	New trial (rep=10, index=0): None
41.5372 	DATA 	Keypress: up
41.5453 	EXP 	Fixation: autoDraw = False
41.5453 	EXP 	grating: autoDraw = False
41.5453 	EXP 	grating: ori = 1.0
41.5453 	EXP 	Fixation: autoDraw = True
42.5455 	EXP 	Fixation: autoDraw = False
42.5455 	EXP 	grating: autoDraw = True
42.8452 	EXP 	grating: autoDraw = False
43.2172 	EXP 	New trial (rep=11, index=0): None
43.2203 	DATA 	Keypress: up
43.2283 	EXP 	Fixation: autoDraw = False
43.2283 	EXP 	grating: autoDraw = False
43.2283 	EXP 	grating: ori = -3.0
43.2283 	EXP 	Fixation: autoDraw = True
44.2283 	EXP 	Fixation: autoDraw = False
44.2283 	EXP 	grating: autoDraw = True
44.5281 	EXP 	grating: autoDraw = False
45.1001 	EXP 	New trial (rep=12, index=0): None
45.1036 	DATA 	Keypress: down
45.1117 	EXP 	Fixation: autoDraw = False
45.1117 	EXP 	grating: autoDraw = False
45.1117 	EXP 	grating: ori = 1.0
45.1117 	EXP 	Fixation: autoDraw = True
46.1116 	EXP 	Fixation: autoDraw = False
46.1116 	EXP 	grating: autoDraw = True
46.4114 	EXP 	grating: autoDraw = False
46.9980 	DATA 	Keypress: down
47.0160 	EXP 	New trial (rep=13, index=0): None
47.0282 	EXP 	Fixation: autoDraw = False
47.0282 	EXP 	grating: autoDraw = False
47.0282 	EXP 	grating: ori = -2.0
47.0282 	EXP 	Fixation: autoDraw = True
48.0278 	EXP 	Fixation: autoDraw = False
48.0278 	EXP 	grating: autoDraw = True
48.3279 	EXP 	grating: autoDraw = False
48.5991 	EXP 	New trial (rep=14, index=0): None
48.6021 	DATA 	Keypress: down
48.6114 	EXP 	Fixation: autoDraw = False
48.6114 	EXP 	grating: autoDraw = False
48.6114 	EXP 	grating: ori = 0.0
48.6114 	EXP 	Fixation: autoDraw = True
49.6111 	EXP 	Fixation: autoDraw = False
49.6111 	EXP 	grating: autoDraw = True
49.9105 	EXP 	grating: autoDraw = False
50.2329 	EXP 	New trial (rep=15, index=0): None
50.2363 	DATA 	Keypress: up
50.2442 	EXP 	Fixation: autoDraw = False
50.2442 	EXP 	grating: autoDraw = False
50.2442 	EXP 	grating: ori = 0.0
50.2442 	EXP 	Fixation: autoDraw = True
